structure|amod|start_entity structure|nmod|end_entity	8
release|nmod|start_entity end_entity|nmod|release	8
binding|compound|start_entity binding|nmod|end_entity	8
release|nmod|start_entity release|amod|end_entity	8
start_entity|nmod|deficiency deficiency|amod|end_entity	8
effect|nmod|start_entity end_entity|dep|effect	8
properties|amod|start_entity properties|nmod|end_entity	8
species|compound|start_entity species|amod|end_entity	8
synthesis|amod|start_entity synthesis|nmod|end_entity	8
expression|amod|start_entity expression|nmod|end_entity	8
regulates|nsubj|start_entity regulates|dobj|expression expression|nmod|end_entity	8
composition|amod|start_entity composition|nmod|end_entity	8
inhibits|nsubj|start_entity inhibits|dobj|expression expression|compound|end_entity	8-
metabolism|amod|start_entity end_entity|nmod|metabolism	8
metabolism|amod|start_entity effects|nmod|metabolism effects|nmod|end_entity	8
metabolism|amod|start_entity effect|nmod|metabolism effect|nmod|end_entity	8
secretion|amod|start_entity stimulates|dobj|secretion stimulates|nsubj|end_entity	8+
induced|nmod|start_entity induced|nsubjpass|end_entity	8+
transport|amod|start_entity end_entity|nmod|transport	8
start_entity|nsubj|stimulates stimulates|compound|end_entity	8+
start_entity|nmod|activity activity|nmod|end_entity	8
production|compound|start_entity production|compound|end_entity	8
regulation|nmod|start_entity regulation|nmod|expression expression|compound|end_entity	9
regulation|nmod|start_entity regulation|nmod|end_entity	9
start_entity|nmod|expression expression|compound|end_entity	9
stimulates|nsubj|start_entity stimulates|dobj|expression expression|compound|end_entity	9+
decreases|nsubj|start_entity decreases|dobj|end_entity	9-
reduces|nsubj|start_entity reduces|dobj|expression expression|nmod|end_entity	9-
therapy|compound|start_entity therapy|nmod|end_entity	9
production|amod|start_entity inhibits|dobj|production inhibits|nsubj|end_entity	9-
effect|nmod|start_entity end_entity|nmod|effect	9
effect|nmod|start_entity mediated|nsubjpass|effect mediated|nmod|end_entity	9
affects|nsubj|start_entity affects|dobj|expression expression|compound|end_entity	9
regulation|compound|start_entity regulation|nmod|expression expression|compound|end_entity	9
regulation|compound|start_entity regulation|nmod|end_entity	9
start_entity|nmod|activation activation|nmod|end_entity	9+
expression|nmod|start_entity expression|compound|end_entity	9
treatment|compound|start_entity end_entity|nmod|treatment	9
effects|nmod|start_entity effects|nmod|expression expression|compound|end_entity	9
start_entity|nmod|production production|compound|end_entity	9
effects|nmod|start_entity effects|nmod|expression expression|nmod|end_entity	9
regulated|nmod|start_entity regulated|nsubjpass|end_entity	9
effects|nmod|start_entity effects|nmod|production production|compound|end_entity	9
suppresses|nsubj|start_entity suppresses|dobj|expression expression|compound|end_entity	9-
modulation|nmod|start_entity modulation|nmod|end_entity	9
increases|nsubj|start_entity increases|dobj|expression expression|amod|end_entity	9+
stimulates|nsubj|start_entity stimulates|dobj|expression expression|amod|end_entity	9+
effects|nmod|start_entity effects|nmod|production production|amod|end_entity	9
regulates|nsubj|start_entity regulates|dobj|end_entity	9
secretion|amod|start_entity effect|nmod|secretion effect|nmod|end_entity	9
increases|amod|start_entity end_entity|nsubj|increases	9+
stimulates|nsubj|start_entity stimulates|dobj|end_entity	9+
species|compound|start_entity end_entity|nmod|species	9
production|amod|start_entity end_entity|nmod|production	9
regulation|nmod|start_entity regulation|amod|end_entity	9
levels|amod|start_entity levels|amod|end_entity	9
induces|nsubj|start_entity induces|xcomp|end_entity	9+
effects|nmod|start_entity mediates|dobj|effects mediates|nsubj|end_entity	9
induces|nsubj|start_entity induces|dobj|expression expression|amod|end_entity	9+
start_entity|dobj|expression expression|amod|end_entity	9
induces|nsubj|start_entity induces|dobj|expression expression|nmod|end_entity	9+
regulation|nmod|start_entity regulation|nmod|expression expression|amod|end_entity	9
upregulates|nsubj|start_entity upregulates|dobj|expression expression|amod|end_entity	9+
synthase|amod|start_entity synthase|amod|end_entity	9
regulates|nsubj|start_entity regulates|dobj|expression expression|amod|end_entity	9
production|nmod|start_entity production|amod|end_entity	9
inhibition|compound|start_entity inhibition|nmod|end_entity	9
regulation|amod|start_entity regulation|nmod|end_entity	9
